# IFAR              GPSTIME            HSNR     LSNR     SECONDARY            PRIMARY
0.06831420941096834 1186050318.6220703 6.023544 5.804915 0.014666252755587984 22.04722435137825
0.03406095199918988 1130196693.0061035 5.9237533 6.438782 0.015789678684061274 24.980350197067676
0.027018759415325055 1170321990.055664 6.2917547 6.217701 0.04204632946296445 25.640525999186664
0.01980400913304591 1132944445.7277832 6.030764 6.023787 0.017687793801548043 21.556395299316186
0.01680115770051531 1132122926.9157715 6.4156876 5.9544754 0.010496769850722957 20.74088077760657
0.02916857357719606 1165239420.0402832 5.8383913 6.5590568 0.01094327985557176 24.44911630238874
0.03537703112337293 1173105465.373291 5.9000554 6.619096 0.018743914557423424 20.422994785961137
0.02640525784736003 1173743002.9475098 6.4866443 5.629439 0.013303828431771728 23.192704325281834
0.2586978072793424 1182938513.3359375 6.683782 6.0229545 0.07634238413853338 20.229791334552264
0.07005120092882135 1181208863.7871094 5.8628078 6.4118896 0.012682260367222923 29.66683743471589
0.017311641368580787 1175326828.3635254 5.8666115 6.524722 0.027544160608874782 26.740858268748717
0.11395595146985395 1127372301.1120605 5.864204 6.8266683 0.01719590492716573 29.91493173198493
0.020187949234381924 1185453656.3203125 6.7018366 5.794528 0.03619379841215546 37.05611042185736
0.031259298011582067 1135897863.2717285 6.0993786 5.899456 0.013399619197344892 20.89045166522177
0.030431016391998415 1175135742.7011719 5.9583807 5.934322 0.016368951525847397 21.35700212467303
0.08812218045769504 1185851734.227539 6.2589006 5.6247287 0.010012496522614583 30.258067891601318
0.06776948909510189 1128448483.900879 5.727711 6.8776636 0.06767264818950453 23.994221220985565
0.21964551029503016 1133296290.1799316 5.6386905 6.493657 0.012261312667869432 20.481863234658825
0.3229296540137798 1128246832.6628418 6.2894077 6.9071174 0.012204183174575464 22.84230353540461
0.022366564039656277 1184156964.5197754 6.3730307 5.7018156 0.01123310353163238 29.26814618814245
0.03511927957154554 1126922242.6381836 6.326589 5.6787186 0.013554554035763099 21.16240393212368
0.02538790444562747 1134555775.7470703 6.2213864 5.9103785 0.011138434525366054 30.84152587378746
0.016737464418787783 1184681500.0754395 5.841584 6.4878807 0.011744449917930722 26.482552774846614
0.04599703161927469 1134404119.7404785 5.8635187 6.745382 0.013481894234718225 22.159713498068136
